Customer_ID,Age,Gender,City,Income,Website_Visits,Previous_Purchases,Membership_Level,Time_on_Site_Minutes,Email_Opened,Discount_Used,Purchased
84,56,Female,Toronto,66208,24,13,Basic,19.9,No,Yes,Yes
85,64,Male,Markham,106011,21,15,Gold,11.7,No,No,Yes
86,53,Male,Whitby,72176,27,6,Premium,6.7,No,Yes,Yes
87,20,Male,Vaughan,91993,22,12,Basic,16.9,Yes,No,Yes
88,26,Male,Toronto,87711,3,14,Basic,4.5,Yes,Yes,Yes
89,34,Male,Markham,82098,20,2,Gold,21.5,No,No,Yes
90,52,Female,Markham,38968,7,9,Premium,18.9,No,Yes,No
91,46,Female,Vaughan,69251,28,0,Basic,20.1,No,No,No
92,45,Female,Oshawa,99621,13,5,Basic,2.9,No,Yes,Yes
93,55,Female,Oshawa,90443,20,8,Silver,17.0,No,No,Yes
94,22,Male,Ajax,107014,9,13,Silver,12.0,No,Yes,Yes
95,48,Female,Oshawa,79986,18,11,Silver,24.8,No,Yes,Yes
96,35,Female,Markham,119889,24,1,Premium,18.9,No,Yes,Yes
97,32,Female,Markham,62850,21,4,Silver,22.7,Yes,No,Yes
98,20,Male,Vaughan,47224,2,9,Basic,11.0,Yes,Yes,Yes
99,51,Male,Oshawa,63681,29,15,Premium,8.1,No,Yes,Yes
100,22,Female,Oshawa,118647,23,12,Premium,20.3,No,Yes,Yes
101,18,Male,Markham,46199,14,11,Silver,17.1,No,No,No
102,61,Female,Whitby,33280,19,10,Premium,6.3,Yes,No,Yes
103,59,Male,Toronto,48320,1,1,Basic,12.8,Yes,Yes,No
104,42,Male,Ajax,117881,30,13,Silver,18.4,No,Yes,Yes
105,57,Male,Ajax,34288,22,11,Basic,11.7,Yes,No,No
106,61,Male,Markham,114518,11,1,Basic,5.6,Yes,No,No
107,60,Female,Vaughan,113819,19,0,,9.0,Yes,Yes,Yes
108,53,Female,Markham,58305,26,7,Basic,4.5,Yes,No,No
109,26,Male,Oshawa,44408,21,0,Basic,9.6,Yes,No,No
110,29,Male,Toronto,46614,23,13,Silver,18.9,No,No,No
111,50,Female,Whitby,96039,7,1,Gold,22.8,No,No,No
112,21,Male,Whitby,85872,21,3,Silver,22.8,Yes,Yes,Yes
113,56,Female,Toronto,46540,8,10,Basic,15.3,No,No,No
114,24,Female,Vaughan,115316,28,6,Silver,22.3,No,No,Yes
115,,Male,Vaughan,42463,10,13,Basic,7.1,Yes,No,No
116,23,Female,Toronto,86606,3,11,Gold,14.4,No,Yes,Yes
117,40,Male,,36743,30,9,Silver,9.4,Yes,Yes,Yes
118,32,Female,Ajax,102910,11,3,Gold,14.8,No,Yes,Yes
119,19,Female,Ajax,70499,29,10,Basic,5.4,Yes,No,No
120,27,Female,Toronto,99531,6,12,Silver,9.2,No,No,No
121,54,Female,Toronto,50392,5,1,Silver,7.5,No,No,No
122,44,Male,Oshawa,97154,3,11,Silver,7.8,No,No,No
123,32,Male,Markham,37180,0,6,Basic,6.1,Yes,No,No
124,38,Female,Toronto,95193,23,13,Basic,10.1,Yes,No,Yes
125,43,Female,Whitby,32456,14,2,Gold,14.8,No,No,No
126,25,Male,Toronto,72568,5,14,Gold,23.1,Yes,No,Yes
127,33,Male,Markham,82487,16,2,Basic,8.4,No,Yes,Yes
128,28,Female,Markham,112998,3,6,Premium,9.4,Yes,Yes,Yes
129,27,Male,Oshawa,52740,19,4,Gold,16.7,Yes,No,Yes
130,54,Male,Vaughan,103989,20,10,Gold,16.1,Yes,No,Yes
131,48,Male,,69691,25,8,Silver,9.4,Yes,No,Yes
132,46,,Toronto,78331,26,9,Basic,21.7,Yes,No,Yes
133,55,Female,Whitby,104928,20,6,Basic,12.4,Yes,Yes,Yes
134,24,Male,Vaughan,41053,16,5,Basic,18.0,No,Yes,Yes
135,41,Male,Whitby,83578,24,10,Silver,2.3,No,Yes,Yes
136,24,Male,Ajax,63029,23,4,Basic,15.0,Yes,No,Yes
137,59,Male,Oshawa,107993,22,2,Basic,10.0,No,Yes,No
138,59,Male,Markham,77425,0,11,Basic,23.8,No,No,No
139,32,Female,Oshawa,40114,9,3,Silver,14.0,Yes,No,No
140,56,Male,Oshawa,51266,5,5,Gold,2.0,No,Yes,Yes
141,57,Male,Vaughan,88841,7,7,Basic,20.4,No,Yes,Yes
142,61,Male,Whitby,66932,24,12,Silver,11.0,Yes,Yes,Yes
143,34,Female,Vaughan,92991,27,11,Silver,3.5,Yes,No,No
144,,Male,Whitby,97286,4,13,Basic,22.9,No,No,No
145,,Female,Whitby,95799,11,7,Basic,3.0,Yes,Yes,Yes
146,24,Male,Oshawa,48035,1,9,Premium,12.3,Yes,No,Yes
147,57,Female,Toronto,32490,8,6,Gold,14.2,No,Yes,Yes
148,33,Male,Toronto,36258,7,13,Silver,15.9,Yes,Yes,Yes
149,56,Female,Vaughan,97551,18,7,Gold,8.0,Yes,No,Yes
150,54,Male,Oshawa,117080,21,2,Silver,9.7,Yes,No,Yes
151,20,Male,Ajax,63246,23,0,Basic,2.6,Yes,Yes,No
152,26,Female,Ajax,101567,10,5,Gold,17.4,No,Yes,Yes
153,22,Male,Toronto,68462,6,1,Gold,22.3,No,No,Yes
154,52,Male,Ajax,34799,24,6,Basic,21.7,Yes,No,Yes
155,25,Male,Whitby,82431,23,14,Gold,10.3,Yes,No,Yes
156,41,Male,Toronto,85640,2,13,Silver,20.7,No,No,No
157,23,Male,Vaughan,68750,9,14,Silver,11.2,No,No,Yes
158,20,Male,Markham,87008,8,1,Basic,16.3,No,Yes,No
159,27,Male,Toronto,46545,2,7,Gold,9.8,No,Yes,Yes
160,61,Male,Ajax,78760,14,2,Silver,13.7,No,No,No
161,33,Female,Toronto,54385,15,12,Premium,3.8,No,No,No
162,57,Male,Vaughan,94382,6,3,Basic,2.8,Yes,No,No
163,61,Male,Vaughan,75537,22,2,Silver,8.0,No,Yes,Yes
164,41,Female,Toronto,56342,25,4,Basic,12.9,No,No,Yes
165,53,Female,Markham,41300,2,9,Basic,18.2,No,No,No
166,54,Female,Oshawa,71553,20,2,Silver,17.3,No,Yes,Yes
167,26,Male,Markham,37263,26,3,Silver,8.3,Yes,No,Yes
168,40,Male,Toronto,62847,6,8,Basic,8.3,Yes,Yes,Yes
169,28,Male,Markham,35399,26,0,Basic,23.8,No,Yes,Yes
170,57,Female,Whitby,112203,17,9,Silver,8.3,Yes,No,Yes
171,47,Female,Vaughan,37852,5,14,Silver,12.1,No,Yes,No
172,63,Male,Vaughan,75268,12,4,Gold,13.4,Yes,No,Yes
173,47,Female,Ajax,88929,7,4,Basic,8.0,No,No,No
174,28,Male,Markham,70988,6,5,Silver,13.4,No,No,Yes
175,19,Female,Whitby,96249,14,7,Basic,9.5,Yes,No,Yes
176,56,Male,Ajax,100345,0,3,Silver,22.2,No,No,No
177,20,Male,Toronto,104747,17,6,Basic,7.9,No,No,No
178,57,Female,Oshawa,42672,12,11,Gold,9.1,No,Yes,Yes
179,56,Male,Markham,35276,1,1,Basic,9.0,No,No,No
180,56,Female,Ajax,110356,10,5,Basic,15.8,No,No,Yes
181,63,Male,Whitby,32180,11,10,Silver,24.5,No,Yes,Yes
182,34,Female,Vaughan,36731,18,15,Basic,16.1,No,Yes,Yes
183,20,Female,Oshawa,32482,14,10,Silver,10.9,Yes,No,Yes
184,65,Female,Vaughan,48098,16,6,Silver,25.0,No,No,No
185,29,Male,Markham,74869,17,11,Silver,21.8,No,No,Yes
186,33,Male,Markham,69124,7,9,Gold,17.9,No,No,Yes
187,40,Male,Ajax,45974,18,12,Gold,10.5,No,Yes,Yes
188,20,Male,Vaughan,40358,11,14,Silver,18.9,Yes,Yes,Yes
189,53,Male,Oshawa,44316,19,7,Basic,17.1,Yes,Yes,Yes
190,24,Male,Ajax,91918,3,4,Basic,14.2,Yes,No,Yes
191,48,Female,Ajax,72096,9,1,Premium,3.1,Yes,Yes,Yes
192,44,Female,Toronto,82034,25,15,Basic,19.0,No,Yes,Yes
193,37,Female,Ajax,67298,14,15,Gold,4.2,No,No,Yes
194,25,Male,Oshawa,90150,20,8,Gold,1.3,No,No,Yes
195,29,Male,Whitby,97538,10,2,Silver,3.3,Yes,No,No
196,33,Female,Ajax,80275,7,14,Gold,23.9,No,Yes,Yes
197,59,Male,Vaughan,60972,1,3,Silver,4.8,No,Yes,No
198,41,Female,Oshawa,47507,15,4,Silver,24.7,No,No,Yes
199,52,Female,Oshawa,119173,24,2,Silver,13.7,No,Yes,No
200,21,Female,Markham,100341,4,5,Basic,13.5,Yes,Yes,Yes
6,23,Female,Toronto,79823,8,14,Silver,9.8,No,No,No
7,60,Male,Vaughan,119593,20,2,Silver,5.1,Yes,Yes,Yes
8,42,Male,Vaughan,103000,7,10,Gold,19.6,Yes,Yes,Yes
